country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
CN,IN,2983.7953,26.0465,0.69315,-10.7596,6413.793,6413.793,10.7596
DM,WS,12592.6233,4.5053,0,10.6368,3116.6933,3116.6933,10.6368
DM,TL,18955.0648,5.5595,2.4849,10.1019,5042.4547,5042.4547,10.1019
IS,WS,13965.2676,5.8124,2.5649,9.8657,55949.1812,55949.1812,9.8657
MT,WS,17465.4966,5.633,1.0986,9.7387,21030.4092,21030.4092,9.7387
LU,WS,16002.595,6.0963,3.1355,9.7011,98803.5601,98803.5601,9.7011
IN,PK,1452.8535,25.5207,3.6636,-9.613,241.195,241.195,9.613
IN,NP,1012.172,24.3466,0.69315,-9.0596,979.8554,979.8554,9.0596
CN,MM,1744.2548,23.8999,0,-8.7578,6848.1633,6848.1633,8.7578
IN,MM,1766.2522,23.8345,0,-8.6924,434.3703,434.3703,8.6924
AF,PK,425.1011,24.3356,2.7081,-8.6276,-906.4142,906.4142,8.6276
CY,WS,16525.0199,6.7288,0.69315,8.5582,19296.4404,19296.4404,8.5582
JP,CN,3046.758,23.6604,0,-8.5183,30771.2869,30771.2869,8.5183
CN,TH,2245.5488,23.6586,0,-8.5166,2215.2674,2215.2674,8.5166
IS,SB,13863.7457,6.9493,1.0986,8.4224,57971.4589,57971.4589,8.4224
SZ,WS,14862.2306,7.0787,0.69315,8.2082,-1252.6075,1252.6075,8.2082
DM,MN,12934.1154,7.1936,1.0986,8.1781,3458.003,3458.003,8.1781
IN,AF,1851.5497,23.3175,0,-8.1754,1147.6092,1147.6092,8.1754
BS,TL,16978.7445,7.4511,1.9459,8.0976,21022.3865,21022.3865,8.0976
IN,ID,4484.9985,23.5675,1.6094,-8.0891,-1860.907,1860.907,8.0891
EE,WS,14830.0334,7.063,0,8.079,13546.926,13546.926,8.079
LK,IN,1427.7779,23.346,0.69315,-8.059,2126.0069,2126.0069,8.059
CN,PK,3284.6103,23.9296,3.4965,-8.0568,6654.9879,6654.9879,8.0568
CN,ID,4198.1248,23.7401,2.6391,-8.0465,4552.886,4552.886,8.0465
IR,IN,2827.7535,23.3106,0.69315,-8.0237,3248.1921,3248.1921,8.0237
CN,VN,2458.3995,23.7747,3.1355,-7.9774,5937.4906,5937.4906,7.9774
MO,WS,9030.7734,7.2894,0,7.8527,69159.1988,69159.1988,7.8527
NO,WS,14820.6288,8.4443,5.3936,7.825,66784.7161,66784.7161,7.825
CN,NP,2059.1673,22.9665,0,-7.8244,7393.6484,7393.6484,7.8244
SI,WS,16352.3317,7.3177,0,7.8243,17276.8088,17276.8088,7.8243
DM,AM,10245.2598,7.6252,1.3863,7.8066,3538.3026,3538.3026,7.8066
TT,WS,12520.8082,7.4377,0,7.7043,11349.3374,11349.3374,7.7043
TH,IN,2382.9228,23.4995,3.2189,-7.6847,4198.5255,4198.5255,7.6847
IS,TL,13206.1588,7.7963,1.6094,7.6822,57874.9426,57874.9426,7.6822
IN,VN,3190.2909,23.2132,2.0794,-7.6366,-476.3024,476.3024,7.6366
DK,WS,15286.7598,8.4733,4.2905,7.5654,49389.9029,49389.9029,7.5654
RU,IN,4985.6672,22.7631,0.69315,-7.4762,7038.9766,7038.9766,7.4762
CH,WS,16338.9456,8.7192,4.9628,7.4601,74784.8893,74784.8893,7.4601
OM,WS,14872.5909,8.2696,2.7726,7.4519,10954.5966,10954.5966,7.4519
IE,WS,15382.6523,8.2779,2.7726,7.4436,57578.7216,57578.7216,7.4436
FI,WS,14473.5494,8.5406,4.0073,7.439,39062.4861,39062.4861,7.439
HR,WS,16462.5601,8.0073,1.3863,7.4245,8062.9052,8062.9052,7.4245
DM,KG,12270.9426,7.9966,1.0986,7.375,6067.4185,6067.4185,7.375
MC,PY,10033.2328,7.8525,0,7.2896,140166.1654,140166.1654,7.2896
DM,GE,10022.0766,7.9096,0,7.2325,3290.8048,3290.8048,7.2325
CN,PH,3102.7465,23.4176,5.0689,-7.2162,5172.1089,5172.1089,7.2162
MC,NI,9229.739,7.93,0,7.2121,142094.988,142094.988,7.2121
LR,WS,17952.2155,7.935,0,7.207,-3572.3906,3572.3906,7.207
MH,SV,10879.2169,7.9532,0,7.1888,-775.0488,775.0488,7.1888
IL,WS,16658.7831,8.7011,3.4012,7.1518,33264.8509,33264.8509,7.1518
MH,BO,13982.3605,7.9913,0,7.1507,343.5797,343.5797,7.1507
SK,WS,15984.7384,8.3298,1.6094,7.1486,12468.2263,12468.2263,7.1486
SE,WS,14784.7818,9.087,5.1358,7.1284,47572.1075,47572.1075,7.1284
BD,PK,2205.8206,22.5905,1.6094,-7.1121,-109.4132,109.4132,7.1121
IR,PK,1502.0068,22.6511,1.9459,-7.1024,3489.3871,3489.3871,7.1024
AT,WS,16211.0807,8.7788,3.2958,7.0521,40148.7539,40148.7539,7.0521
TH,MM,855.5833,22.3277,0.69315,-7.0408,4632.8958,4632.8958,7.0408
VN,KH,392.4089,22.9734,3.7842,-7.0405,915.783,915.783,7.0405
DM,KH,16560.7344,8.3492,1.0986,7.0225,5874.5474,5874.5474,7.0225
TH,VN,807.9891,23.0034,4.0604,-7.0128,3722.2231,3722.2231,7.0128
ID,VN,1764.1085,22.7746,2.9957,-7.0064,1384.6046,1384.6046,7.0064
DM,MD,8733.4822,8.1388,0,7.0032,5244.2532,5244.2532,7.0032
NG,BJ,698.4929,22.1451,0,-7.003,1388.5448,1388.5448,7.003
PT,WS,16756.3636,8.8784,3.4012,6.9745,15785.5469,15785.5469,6.9745
AE,WS,15075.5501,8.982,3.7842,6.9509,33594.4461,33594.4461,6.9509
IN,EG,4923.5602,22.3771,1.3863,-6.9453,-1805.1022,1805.1022,6.9453
LY,WS,18312.0483,8.2058,0,6.9363,1421.2686,1421.2686,6.9363
LB,WS,16419.4353,8.3773,0.69315,6.9096,3886.2433,3886.2433,6.9096
BE,WS,15917.5056,9.0756,3.9318,6.8882,37068.3959,37068.3959,6.8882
TZ,KE,780.9956,22.2083,1.0986,-6.8367,-576.166,576.166,6.8367
NL,WS,15741.8218,9.503,5.717,6.8338,41267.0186,41267.0186,6.8338
MC,HN,9132.7805,8.3443,0,6.7977,141885.2124,141885.2124,6.7977
DM,TJ,12229.8068,8.3652,0,6.7768,6348.6108,6348.6108,6.7768
EG,TR,1411.967,22.0626,0.69315,-6.7756,-7273.1192,7273.1192,6.7756
MC,KH,9641.2391,8.7839,1.9459,6.7648,142976.4628,142976.4628,6.7648
MC,BO,9805.248,8.3802,0,6.7618,141141.4139,141141.4139,6.7618
GH,NG,1073.9366,22.2381,1.6094,-6.7597,-664.5241,664.5241,6.7597
BD,VN,2164.926,21.8936,0,-6.7515,-826.9105,826.9105,6.7515
MU,SR,12615.1093,8.3968,0,6.7452,3143.1631,3143.1631,6.7452
ID,PH,1749.4105,22.8997,4.8828,-6.7372,619.223,619.223,6.7372
KE,UG,643.4325,22.3036,2.0794,-6.7269,840.051,840.051,6.7269
ET,KE,1058.8665,22.2108,1.7918,-6.6943,-748.602,748.602,6.6943
CZ,WS,15946.7034,9.0001,2.6391,6.6935,14238.7883,14238.7883,6.6935
IN,TR,4631.1706,22.3143,2.4849,-6.653,-9078.2214,9078.2214,6.653
MC,CL,11887.8819,8.4927,0,6.6494,130453.444,130453.444,6.6494
HU,WS,16147.2702,8.9021,1.9459,6.6466,8637.0861,8637.0861,6.6466
IS,LS,11276.9483,8.6643,0.69315,6.6226,58978.8082,58978.8082,6.6226
IN,IQ,3747.2731,21.9784,1.0986,-6.6067,-2900.2128,2900.2128,6.6067
RS,WS,16427.0801,8.5376,0,6.6044,1320.5327,1320.5327,6.6044
MN,WS,10675.7838,8.5531,0,6.5889,-341.3097,341.3097,6.5889
BG,WS,16378.5652,8.5535,0,6.5886,3323.0344,3323.0344,6.5886
ET,UG,1252.8972,21.7189,0,-6.5769,91.449,91.449,6.5769
KN,JO,9861.257,8.5812,0,6.5608,12637.3421,12637.3421,6.5608
DM,JO,9846.0003,8.8781,1.3863,6.5537,3056.5172,3056.5172,6.5537
TR,IQ,990.1461,21.8276,0.69315,-6.5407,6178.0086,6178.0086,6.5407
TR,UA,1096.7201,21.8135,0.69315,-6.5266,8601.8813,8601.8813,6.5266
IN,YE,3261.8617,21.9567,1.3863,-6.5249,719.0531,719.0531,6.5249
SI,SB,14783.5722,8.6417,0,6.5003,19299.0865,19299.0865,6.5003
BJ,WS,19231.3139,8.6545,0,6.4875,-3238.321,3238.321,6.4875
IN,NG,7611.3287,22.1705,2.7081,-6.4624,-468.5972,468.5972,6.4624
CN,EG,6882.796,21.7474,0.69315,-6.4605,4608.6908,4608.6908,6.4605
RO,UA,541.0827,21.8315,1.0986,-6.4599,7288.4026,7288.4026,6.4599
GD,KH,16883.1814,8.6885,0,6.4535,8199.3119,8199.3119,6.4535
SG,WS,9403.8456,9.4232,3.4657,6.4432,48932.9528,48932.9528,6.4432
DO,HT,224.8838,21.5492,0,-6.4072,5982.6281,5982.6281,6.4072
KZ,IN,3234.9418,21.5351,0,-6.393,5800.6893,5800.6893,6.393
TZ,UG,907.949,21.7517,1.0986,-6.3801,263.885,263.885,6.3801
MX,US,1632.527,23.4617,9.3643,-6.3626,-49265.4809,49265.4809,6.3626
DE,CN,7223.8879,21.5044,0,-6.3624,33812.8777,33812.8777,6.3624
MY,IN,3084.1183,22.1915,3.2958,-6.3607,7793.1805,7793.1805,6.3607
PH,VN,1465.1591,22.2188,3.4657,-6.3524,765.3816,765.3816,6.3524
SA,IN,3498.3899,21.9738,2.3026,-6.3505,18319.2603,18319.2603,6.3505
DM,AZ,10440.6142,8.7927,0,6.3493,3267.5182,3267.5182,6.3493
KR,IN,5016.711,21.7151,1.0986,-6.3435,25829.4182,25829.4182,6.3435
IL,JO,142.0032,22.1115,2.9957,-6.3434,33204.6747,33204.6747,6.3434
IN,PH,4625.2475,22.5788,5.2679,-6.3358,-1241.684,1241.684,6.3358
VU,PY,13458.8698,9.2143,1.9459,6.3345,-1219.6382,1219.6382,6.3345
LI,KH,9390.6209,8.8147,0,6.3273,178208.6728,178208.6728,6.3273
ID,TH,2333.9659,21.9175,2.1972,-6.3162,-2337.6185,2337.6185,6.3162
JP,IN,5959.3042,22.2783,3.9318,-6.3145,37185.0798,37185.0798,6.3145
KG,WS,12936.6478,8.8667,0,6.2753,-2950.7252,2950.7252,6.2753
MM,VN,1567.4486,21.4141,0,-6.2721,-910.6727,910.6727,6.2721
MC,GT,9397.3176,8.8859,0,6.2562,140099.6259,140099.6259,6.2562
KN,LR,5911.6698,8.887,0,6.255,16269.9089,16269.9089,6.255
CN,NG,9908.8561,21.6832,1.3863,-6.2514,5945.1957,5945.1957,6.2514
DM,RW,10198.2648,9.0392,0.69315,6.2477,6441.6191,6441.6191,6.2477
VU,LB,14720.1527,8.9221,0,6.2199,-5053.4382,5053.4382,6.2199
RW,UG,455.9965,21.5895,1.0986,-6.2178,87.5268,87.5268,6.2178
MY,ID,1438.9999,22.0926,3.5553,-6.2075,5932.2735,5932.2735,6.2075
CN,TR,5949.8735,21.8536,2.4849,-6.1922,-2664.4285,2664.4285,6.1922
MY,VC,17355.682,9.3372,1.6094,6.1413,2472.5113,2472.5113,6.1413
SM,KG,4987.8023,9.0019,0,6.1402,45369.9638,45369.9638,6.1402
IQ,EG,1427.9224,21.2805,0,-6.1385,1095.1106,1095.1106,6.1385
DM,LR,5744.4517,9.2382,1.0986,6.1334,6689.0839,6689.0839,6.1334
BS,MN,12019.553,9.0117,0,6.1304,19437.9349,19437.9349,6.1304
BJ,GH,397.0514,21.3887,0.69315,-6.1018,-724.0206,724.0206,6.1018
TH,LA,470.9119,21.4646,1.0986,-6.0929,3554.7606,3554.7606,6.0929
DM,TG,6785.6524,9.405,1.6094,6.0734,6565.993,6565.993,6.0734
IN,UA,5238.2412,21.4988,1.3863,-6.0671,-476.3401,476.3401,6.0671
NZ,BZ,11793.7268,9.4239,1.6094,6.0546,34616.0576,34616.0576,6.0546
MC,PE,10112.5158,9.3895,1.3863,6.0423,138200.7199,138200.7199,6.0423
VU,SV,11895.6899,9.4029,1.3863,6.0288,-1363.0181,1363.0181,6.0288
IN,CD,6810.5744,21.5332,1.7918,-6.0167,1264.8826,1264.8826,6.0167
IN,TZ,5670.6009,21.5511,1.9459,-6.0024,830.1941,830.1941,6.0024
DM,MG,12430.5327,9.38,1.0986,5.9917,6743.1358,6743.1358,5.9917
CN,MN,1223.5798,21.7485,2.9444,-5.9911,4436.7292,4436.7292,5.9911
GB,CN,7779.5601,21.1255,0,-5.9835,31776.2075,31776.2075,5.9835
IN,LA,2454.6204,21.1189,0,-5.9768,-643.765,643.765,5.9768
MY,CN,3526.806,21.9636,4.0775,-5.9694,1379.3875,1379.3875,5.9694
BS,KG,12109.951,9.6944,2.4849,5.9669,22047.3504,22047.3504,5.9669
CN,US,11647.2638,21.9123,3.912,-5.9526,-49343.6062,49343.6062,5.9526
FR,CN,8021.9943,21.0831,0,-5.9411,28731.7874,28731.7874,5.9411
DM,ZM,10311.0701,9.3481,0.69315,5.9388,5966.0668,5966.0668,5.9388
VE,CO,877.5881,21.4135,1.6094,-5.9351,3452.3947,3452.3947,5.9351
EG,JO,675.3322,21.4083,1.6094,-5.9299,-573.4474,573.4474,5.9299
NO,SB,13899.1468,9.695,2.3026,5.9283,68806.9938,68806.9938,5.9283
PL,UA,941.1089,21.3799,1.6094,-5.9015,10186.689,10186.689,5.9015
CN,IQ,5460.3837,21.2657,1.0986,-5.8941,3513.5802,3513.5802,5.8941
CN,KH,2591.623,21.8974,4.1589,-5.8862,6853.2736,6853.2736,5.8862
NG,TG,864.0537,21.3624,1.6094,-5.884,1599.5235,1599.5235,5.884
VU,RW,14918.8381,9.5804,1.3863,5.8514,2157.7309,2157.7309,5.8514
GT,SV,263.6335,21.1379,0.69315,-5.851,-76.8405,76.8405,5.851
DM,MW,10990.6053,9.307,0,5.8351,6843.6598,6843.6598,5.8351
VU,NI,12264.6927,9.3107,0,5.8314,709.1844,709.1844,5.8314
MO,PY,19182.4582,9.3226,0,5.8194,69106.7555,69106.7555,5.8194
LA,WS,10055.431,9.4759,0.69315,5.811,-1674.6085,1674.6085,5.811
DM,SL,5438.6953,9.8195,2.3026,5.8038,6648.4052,6648.4052,5.8038
MO,SV,15324.5274,9.7135,1.7918,5.803,68963.3756,68963.3756,5.803
IN,TJ,2160.4084,21.6308,3.2958,-5.7999,913.5441,913.5441,5.7999
LU,LS,9097.9493,9.65,1.3863,5.7818,101833.1871,101833.1871,5.7818
PK,TJ,959.8981,21.3284,1.9459,-5.7797,672.3491,672.3491,5.7797
BS,GE,10375.4359,9.5117,0.69315,5.7752,19270.7366,19270.7366,5.7752
TZ,RW,742.7508,20.906,0,-5.7639,176.3582,176.3582,5.7639
NI,WS,10018.4147,9.389,0,5.7531,-1876.3793,1876.3793,5.7531
BD,PH,3517.8883,21.0311,0.69315,-5.7442,-1592.2922,1592.2922,5.7442
LB,TR,570.7868,21.1058,1.0986,-5.7341,-2873.6047,2873.6047,5.7341
SC,GE,5367.6091,9.411,0,5.7311,11222.0695,11222.0695,5.7311
GD,RW,10213.8877,9.4141,0,5.728,8766.3836,8766.3836,5.728
GN,SL,282.0485,20.8652,0,-5.7231,12.0956,12.0956,5.7231
FI,SB,13143.0143,9.8558,2.0794,5.7209,41084.7639,41084.7639,5.7209
MC,BI,5702.1827,9.4304,0,5.7117,143960.6426,143960.6426,5.7117
IE,SB,15038.8351,9.4454,0,5.6966,59600.9993,59600.9993,5.6966
RU,PK,4334.2356,21.1184,1.3863,-5.6866,7280.1716,7280.1716,5.6866
RO,WS,16094.8041,9.6053,0.69315,5.6816,5446.3692,5446.3692,5.6816
ZA,IN,8255.0304,20.8061,0,-5.6641,3564.206,3564.206,5.6641
IS,PY,10393.3218,9.9432,2.1972,5.6581,55896.7379,55896.7379,5.6581
IN,KH,2909.3266,21.6258,3.9512,-5.658,439.4807,439.4807,5.658
DK,SB,14240.5337,9.7374,1.0986,5.6342,51412.1806,51412.1806,5.6342
PK,IQ,2439.923,20.9117,0.69315,-5.6248,-3141.4077,3141.4077,5.6248
BS,KH,15826.1545,10.1114,2.8332,5.6228,21854.4793,21854.4793,5.6228
IS,MN,6641.4242,10.0407,2.4849,5.6207,56290.4909,56290.4909,5.6207
CN,BR,16632.8538,20.7575,0,-5.6154,-526.7676,526.7676,5.6154
NG,UG,2749.772,20.7436,0,-5.6015,1562.6764,1562.6764,5.6015
EG,NG,3050.3652,21.3718,3.0445,-5.5934,1336.5049,1336.5049,5.5934
VU,BO,13444.73,9.6981,0.69315,5.5888,-244.3896,244.3896,5.5888
TH,KH,566.2909,21.9426,5.8171,-5.5847,4638.0062,4638.0062,5.5847
NZ,SR,13492.9639,9.5744,0,5.5676,32942.1908,32942.1908,5.5676
GB,WS,15284.9958,10.9118,6.3699,5.5616,35871.627,35871.627,5.5616
ES,WS,16836.81,10.3725,3.7612,5.5556,22500.7304,22500.7304,5.5556
IN,KG,2325.7435,21.1214,2.0794,-5.5448,632.3517,632.3517,5.5448
MC,MG,8028.8125,9.607,0,5.5351,143845.0511,143845.0511,5.5351
IN,KE,5016.1669,21.6595,4.7095,-5.5332,254.0282,254.0282,5.5332
KW,SB,12722.8764,9.6163,0,5.5258,26969.9164,26969.9164,5.5258
IS,LA,9371.4752,10.1551,2.5649,5.523,57623.7897,57623.7897,5.523
DM,CM,8052.8587,10.188,2.7081,5.52,6111.806,6111.806,5.52
MC,SL,4342.8564,9.6223,0,5.5198,143750.3205,143750.3205,5.5198
BN,HT,17290.8273,9.6392,0,5.5029,26198.9079,26198.9079,5.5029
MY,VN,1294.7576,21.2683,2.9957,-5.5001,7316.8781,7316.8781,5.5001
MO,NI,15612.6439,9.645,0,5.497,71035.5781,71035.5781,5.497
IN,MG,5601.7748,20.7725,0.69315,-5.4856,1308.0691,1308.0691,5.4856
TZ,NG,3375.0977,20.626,0,-5.484,-1298.7914,1298.7914,5.484
IT,IN,6569.0337,21.3436,3.4657,-5.4772,28817.8803,28817.8803,5.4772
AR,CL,766.298,21.0139,1.9459,-5.4652,-1343.7092,1343.7092,5.4652
IN,UG,5494.7877,21.3219,3.434,-5.4621,1094.0791,1094.0791,5.4621
PL,IN,6165.6743,21.0023,1.9459,-5.4535,10663.0291,10663.0291,5.4535
CN,YE,5929.3515,20.8018,1.0986,-5.4301,7132.8461,7132.8461,5.4301
VU,HN,12207.2037,9.7133,0,5.4287,499.4089,499.4089,5.4287
TR,JO,936.0592,20.5702,0,-5.4282,6699.6718,6699.6718,5.4282
TR,PK,3240.1788,21.1039,2.5649,-5.4258,9319.4164,9319.4164,5.4258
TZ,MZ,1369.0871,20.5663,0,-5.4243,497.1245,497.1245,5.4243
FR,WS,16365.7542,10.7942,5.1417,5.4225,32827.2069,32827.2069,5.4225
SA,EG,1470.3139,21.08,2.4849,-5.4186,16514.1581,16514.1581,5.4186
ID,PK,5847.7371,21.1121,2.6391,-5.4185,2102.1019,2102.1019,5.4185
DM,MZ,11256.6187,9.7251,0,5.4169,6762.3853,6762.3853,5.4169
MT,SV,10266.1291,10.1775,2.0794,5.3992,20834.586,20834.586,5.3992
CA,WS,9849.6523,11.198,6.8669,5.3793,38130.1666,38130.1666,5.3793
MY,BZ,17372.129,10.5433,3.7136,5.3749,4692.0025,4692.0025,5.3749
GT,HN,432.3137,20.5108,0,-5.3687,1785.5865,1785.5865,5.3687
IT,TR,1940.8344,20.9695,2.1972,-5.3682,19739.6589,19739.6589,5.3682
BF,ML,648.0306,20.4989,0,-5.3568,-130.7766,130.7766,5.3568
CN,KG,2614.422,20.9277,2.0794,-5.3511,7046.1447,7046.1447,5.3511
MO,BO,19292.4774,9.793,0,5.3491,70082.0041,70082.0041,5.3491
CA,US,2261.5356,21.5529,5.0938,-5.3463,-15308.8591,15308.8591,5.3463
NO,TL,12335.044,10.6836,4.2341,5.3434,68710.4774,68710.4774,5.3434
MT,PY,10097.1519,10.2689,2.1972,5.3323,20977.966,20977.966,5.3323
RU,ID,6967.4498,20.4702,0,-5.3281,5178.0696,5178.0696,5.3281
IT,WS,16856.7346,10.6362,3.912,5.3235,26499.5068,26499.5068,5.3235
CU,WS,11001.4373,9.8256,0,5.3164,3574.4986,3574.4986,5.3164
DE,WS,15849.3039,11.07,5.9402,5.3136,37908.2972,37908.2972,5.3136
IL,TR,881.1271,20.5901,0.69315,-5.3032,26505.0029,26505.0029,5.3032
BS,LB,10398.8713,9.9865,0.69315,5.3004,15210.3819,15210.3819,5.3004
AE,IN,2604.8833,21.316,4.1897,-5.2983,35912.8195,35912.8195,5.2983
SA,IQ,1047.181,20.814,1.7918,-5.2975,15419.0475,15419.0475,5.2975
NO,BZ,8724.3961,10.1357,1.3863,5.2961,66001.9115,66001.9115,5.2961
VN,PK,4369.9516,20.6591,1.0986,-5.2875,717.4973,717.4973,5.2875
RO,MD,306.6646,20.4279,0,-5.2859,7573.9291,7573.9291,5.2859
MT,NI,10012.1271,10.1964,1.6094,5.282,22906.7886,22906.7886,5.282
IE,TL,13587.0485,10.3982,2.5649,5.2799,59504.4829,59504.4829,5.2799
BR,IN,14775.3062,20.954,2.5649,-5.2759,6940.5606,6940.5606,5.2759
MT,MN,7151.8048,10.1605,1.3863,5.2712,21371.7189,21371.7189,5.2712
DE,IN,6752.1876,21.5991,5.6768,-5.2707,40226.6707,40226.6707,5.2707
FJ,SL,18502.3755,9.8739,0,5.2681,4657.3021,4657.3021,5.2681
IS,NI,7604.3728,10.4786,2.8904,5.2675,57825.5605,57825.5605,5.2675
EG,PK,3765.7118,20.9885,2.7726,-5.267,2046.2972,2046.2972,5.267
MA,NG,3003.902,20.4046,0,-5.2626,654.4446,654.4446,5.2626
BZ,LR,8639.2721,10.0294,0.69315,5.2575,4355.1952,4355.1952,5.2575
BS,TJ,12198.4805,10.0418,0.69315,5.2451,22328.5427,22328.5427,5.2451
IN,AZ,3681.3848,20.676,1.3863,-5.2442,-2167.5485,2167.5485,5.2442
IS,SV,7678.8009,10.4903,2.8332,5.2438,55753.358,55753.358,5.2438
VU,EC,12605.9363,10.2357,1.6094,5.2427,-3108.4177,3108.4177,5.2427
LU,SV,9194.5878,10.6863,3.7612,5.2418,98607.7369,98607.7369,5.2418
RS,SB,14538.365,9.9042,0,5.2378,3342.8104,3342.8104,5.2378
OM,IN,2390.9166,20.7479,1.7918,-5.2314,13272.97,13272.97,5.2314
SE,SB,13563.6714,10.3818,2.1972,5.2195,49594.3852,49594.3852,5.2195
UZ,TJ,633.7692,20.356,0,-5.2139,1314.804,1314.804,5.2139
MO,HN,15330.9763,10.0747,0.69315,5.2122,70825.8025,70825.8025,5.2122
IN,MZ,6437.843,20.6411,1.3863,-5.2093,1327.3186,1327.3186,5.2093
CO,EC,832.5832,20.863,2.4849,-5.2017,-163.3788,163.3788,5.2017
MT,CR,10093.2445,9.9443,0,5.1977,13233.5325,13233.5325,5.1977
TW,IN,4323.9998,21.2344,4.2905,-5.1956,20888.6121,20888.6121,5.1956
IS,CR,7855.1482,10.1778,1.0986,5.1939,48152.3045,48152.3045,5.1939
IT,EG,2357.3864,20.7658,2.0794,-5.1892,27012.7781,27012.7781,5.1892
SY,LB,306.4867,20.8875,2.7081,-5.1795,-6213.6147,6213.6147,5.1795
KN,KE,11142.2002,9.9711,0,5.1709,15269.9199,15269.9199,5.1709
IS,BO,9782.9215,10.546,2.7081,5.162,56871.9865,56871.9865,5.162
DE,UA,1514.0558,21.2075,4.3307,-5.1604,39750.3305,39750.3305,5.1604
MC,PH,10878.7834,10.4226,2.0794,5.1541,141295.2981,141295.2981,5.1541
MA,IN,8463.1647,20.2958,0,-5.1538,1123.0419,1123.0419,5.1538
TR,NG,4246.3864,20.525,1.0986,-5.1533,8609.6242,8609.6242,5.1533
IS,PA,7847.8563,9.994,0,5.1481,46296.7066,46296.7066,5.1481
EG,UA,2397.4444,20.4346,0.69315,-5.1477,1328.7621,1328.7621,5.1477
CN,MX,12826.3463,20.7898,2.3979,-5.1466,-78.1254,78.1254,5.1466
CN,TJ,2912.6339,21.0736,3.7612,-5.1455,7327.337,7327.337,5.1455
CH,SB,15105.2677,9.9985,0,5.1435,76807.1671,76807.1671,5.1435
DM,KE,11002.4023,10.2902,1.3863,5.1416,5689.0949,5689.0949,5.1416
CN,TZ,8596.804,20.7593,2.3026,-5.136,7243.9871,7243.9871,5.136
CN,CD,9592.1866,20.8886,2.9444,-5.1312,7678.6756,7678.6756,5.1312
DM,UG,10359.2222,10.2553,1.0986,5.1164,6529.1459,6529.1459,5.1164
DK,BZ,8906.6608,10.1853,0.69315,5.1016,48607.0984,48607.0984,5.1016
BF,TG,479.5813,20.2398,0,-5.0978,71.2688,71.2688,5.0978
ZM,MW,698.6211,20.2371,0,-5.0951,877.5931,877.5931,5.0951
IS,KH,10223.8054,10.8278,3.7136,5.0903,58707.0353,58707.0353,5.0903
IT,UA,1622.9436,20.7581,2.5649,-5.08,28341.5402,28341.5402,5.08
MY,TH,1300.9277,20.9615,3.5553,-5.0764,3594.655,3594.655,5.0764
KG,PK,1298.8996,20.3617,0.69315,-5.0748,-391.1568,391.1568,5.0748
IS,LR,6552.6121,10.489,1.9459,5.0598,59521.5718,59521.5718,5.0598
BR,BO,1271.6351,21.0584,4.1109,-5.0572,5544.9924,5544.9924,5.0572
PL,WS,15654.5227,10.3161,1.0986,5.0556,8344.6557,8344.6557,5.0556
RU,US,8886.0848,20.1968,0,-5.0547,-48718.4226,48718.4226,5.0547
MC,LB,2682.2175,10.378,1.3863,5.0538,136332.3653,136332.3653,5.0538
AT,SB,14710.9378,10.0953,0,5.0468,42171.0316,42171.0316,5.0468
NZ,AL,17901.5692,10.6482,2.6391,5.0454,35279.7273,35279.7273,5.0454
IR,YE,1947.771,20.1849,0,-5.0428,3967.2452,3967.2452,5.0428
FR,IN,7368.9012,21.2127,4.9488,-5.0363,35145.5804,35145.5804,5.0363
AO,IN,7554.4389,20.3206,0.69315,-5.0337,1401.4203,1401.4203,5.0337
LU,NI,9013.2627,10.6949,2.7726,5.0266,100679.9395,100679.9395,5.0266
SA,WS,15956.5872,10.116,0,5.0261,16000.8868,16000.8868,5.0261
NZ,AM,15832.128,10.9107,3.7842,5.0223,35820.4714,35820.4714,5.0223
DE,TR,2354.7093,20.8934,3.4965,-5.0206,31148.4492,31148.4492,5.0206
LU,CR,9172.7096,10.4239,1.3863,5.0079,91006.6834,91006.6834,5.0079
PT,TL,14331.8366,11.063,4.4427,5.0075,17711.3082,17711.3082,5.0075
SA,TR,1915.8887,20.3654,1.0986,-4.9937,9241.0389,9241.0389,4.9937
PK,YE,2686.4801,20.42,1.3863,-4.9883,477.8582,477.8582,4.9883
ID,KH,1782.2295,20.9824,4.0775,-4.9881,2300.3877,2300.3877,4.9881
JP,ID,4821.6231,21.0784,4.5433,-4.9868,35324.1728,35324.1728,4.9868
DK,TL,12427.5087,10.7596,2.8904,4.9866,51315.6643,51315.6643,4.9866
MU,SV,16381.9285,10.3046,0.69315,4.9823,5404.0112,5404.0112,4.9823
BG,UA,767.4003,20.1158,0,-4.9737,5165.0678,5165.0678,4.9737
LU,PY,10324.6502,10.5127,1.6094,4.9657,98751.1169,98751.1169,4.9657
LU,MN,6684.6743,10.584,1.9459,4.9648,99144.8698,99144.8698,4.9648
FI,TL,11399.1492,10.8903,3.4012,4.9626,40988.2475,40988.2475,4.9626
EG,YE,2218.8754,20.0999,0,-4.9578,2524.1553,2524.1553,4.9578
GD,SL,5459.1442,10.1899,0,4.9521,8973.1697,8973.1697,4.9521
SM,PH,10501.8021,10.3451,0.69315,4.9418,43495.9281,43495.9281,4.9418
IS,AM,4841.3932,10.6385,2.0794,4.9382,56370.7905,56370.7905,4.9382
